JAPANESE_ja_Hani_x_jsource
===========================

Characters include in the JAPANESE_ja_Hani_x_jsource ja_Hani_x_jsource set
===========================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0050e1..0050e9   僡 僢 僣 僤 僥 僦 僧 僨 僩
0050ed..0050ef   僭 僮 僯
0050f1..0050f3   僱 僲 僳
0050f5..0050f6   僵 僶
0050f9..0050fb   價 僺 僻
0050fe           僾
005100..005104   儀 儁 儂 儃 億
005106..005109   儆 儇 儈 儉
00510b..00510e   儋 儌 儍 儎
005110           儐
005112           儒
005114..00511f   儔 儕 儖 儗 儘 儙 儚 儛 儜 儝 儞 償
005121           儡
005123           儣
005127..005128   儧 儨
00512a           優
00512c..00512d   儬 儭
00512f           儯
005131..005135   儱 儲 儳 儴 儵
005137..00513c   儷 儸 儹 儺 儻 儼
00513f..005150   儿 兀 允 兂 元 兄 充 兆 兇 先 光 兊 克 兌 免 兎 兏 児
005152..005155   兒 兓 兔 兕
005157..005158   兗 兘
00515a           党
00515c           兜
00515f..005160   兟 兠
005162           兢
005164..005166   兤 入 兦
005168..00516e   全 兩 兪 八 公 六 兮
005171           共
005173           关
005175..005178   兵 其 具 典
00517b..00517c   养 兼
00517e           兾
005180           冀
005182..005186   冂 冃 冄 内 円
005189..005193   冉 冊 冋 册 再 冎 冏 冐 冑 冒 冓
005195..005199   冕 冖 冗 冘 写
00519d           冝
0051a0..0051a6   冠 冡 冢 冣 冤 冥 冦
0051a8..0051ad   冨 冩 冪 冫 冬 冭
0051b0..0051b8   冰 冱 冲 决 冴 况 冶 冷 冸
0051ba           冺
0051bc..0051bf   冼 冽 冾 冿
0051c2..0051c6   凂 凃 凄 凅 准
0051c8..0051cd   凈 凉 凊 凋 凌 凍
0051cf           减
0051d1..0051d3   凑 凒 凓
0051d5..0051d6   凕 凖
0051d8           凘
0051db..0051de   凛 凜 凝 凞
0051e0..0051e2   几 凡 凢
0051e5..0051e7   凥 処 凧
0051e9..0051ea   凩 凪
0051ed..0051ee   凭 凮
0051f0..0051fa   凰 凱 凲 凳 凴 凵 凶 凷 凸 凹 出
0051fd..0051fe   函 凾
005200..005208   刀 刁 刂 刃 刄 刅 分 切 刈
00520a..00520b   刊 刋
00520e           刎
005211..005218   刑 划 刓 刔 刕 刖 列 刘
00521d           初
005222           刢
005224..005225   判 別
005227..00522a   刧 刨 利 刪
00522e           刮
005230..005233   到 刱 刲 刳
005235..00523c   刵 制 刷 券 刹 刺 刻 刼
005243..005245   剃 剄 剅
005247           則
005249..00524d   剉 削 剋 剌 前
00524f           剏
005254..005258   剔 剕 剖 剗 剘
00525a..005261   剚 剛 剜 剝 剞 剟 剠 剡
005263..005266   剣 剤 剥 剦
005269..00526a   剩 剪
00526c           剬
00526e..005275   剮 副 剰 剱 割 剳 剴 創
005277..005279   剷 剸 剹
00527d           剽
00527f..005280   剿 劀
005282..005285   劂 劃 劄 劅
005287..00528a   劇 劈 劉 劊
00528c..00528d   劌 劍
005291..005298   劑 劒 劓 劔 劕 劖 劗 劘
00529a..00529c   劚 力 劜
00529f..0052a0   功 加
0052a3..0052a7   劣 劤 劥 劦 劧
0052a9..0052ad   助 努 劫 劬 劭
0052af..0052b1   劯 劰 励
0052b4..0052be   労 劵 劶 劷 劸 効 劺 劻 劼 劽 劾
0052c0..0052c1   勀 勁
0052c3..0052ca   勃 勄 勅 勆 勇 勈 勉 勊
0052cc..0052cd   勌 勍
0052cf..0052d2   勏 勐 勑 勒
0052d4..0052d9   勔 動 勖 勗 勘 務
0052db..0052ea   勛 勜 勝 勞 募 勠 勡 勢 勣 勤 勥 勦 勧 勨 勩 勪
0052ec           勬
0052f0..0052fb   勰 勱 勲 勳 勴 勵 勶 勷 勸 勹 勺 勻
0052fe..005303   勾 勿 匀 匁 匂 匃
005305..005308   包 匆 匇 匈
00530a..00530d   匊 匋 匌 匍
00530f..005311   匏 匐 匑
005313           匓
005315..005321   匕 化 北 匘 匙 匚 匛 匜 匝 匞 匟 匠 匡
005323..005325   匣 匤 匥
005327..00532d   匧 匨 匩 匪 匫 匬 匭
00532f..005333   匯 匰 匱 匲 匳
005335           匵
005338..005343   匸 匹 区 医 匼 匽 匾 匿 區 十 卂 千
005345..00534d   卅 卆 升 午 卉 半 卋 卌 卍
005351..005354   卑 卒 卓 協
005357..00535c   南 単 卙 博 卛 卜
00535e           卞
005360..005361   占 卡
005363           卣
005365..005367   卥 卦 卧
005369           卩
00536c..005375   卬 卭 卮 卯 印 危 卲 即 却 卵
005377..00537b   卷 卸 卹 卺 卻
00537d..00537f   卽 卾 卿
005382..005384   厂 厃 厄
005387..005388   厇 厈
00538e           厎
005393..005394   厓 厔
005396           厖
005398..00539a   厘 厙 厚
00539d           厝
00539f..0053a1   原 厠 厡
0053a4..0053a6   厤 厥 厦
0053a8..0053ab   厨 厩 厪 厫
0053ad..0053b0   厭 厮 厯 厰
0053b2..0053b8   厲 厳 厴 厵 厶 厷 厸
0053ba..0053bb   厺 去
0053bd           厽
0053c0           叀
0053c2..0053c3   参 參
0053c5           叅
0053c8..0053cf   又 叉 及 友 双 反 収 叏
0053d2..0053d7   叒 叓 叔 叕 取 受
0053d9..0053db   叙 叚 叛
0053dd..0053f8   叝 叞 叟 叠 叡 叢 口 古 句 另 叧 叨 叩 只 叫 召 叭 叮 可 台 叱 史 右 叴 叵 叶 号 司
0053fa           叺
005401..005404   吁 吂 吃 各
005408..005413   合 吉 吊 吋 同 名 后 吏 吐 向 吒 吓
00541a..00541b   吚 君
00541d..005421   吝 吞 吟 吠 吡
005424           吤
005426..00542f   否 吧 吨 吩 吪 含 听 吭 吮 启
005431           吱
005434..005436   吴 吵 吶
005438..005439   吸 吹
00543b..00543e   吻 吼 吽 吾
005440           呀
005442..005444   呂 呃 呄
005446..00544a   呆 呇 呈 呉 告
00544d..00544f   呍 呎 呏
005451           呑
005455           呕
00545e..00545f   呞 呟
005462           呢
005464           呤
005466..00546e   呦 呧 周 呩 呪 呫 呬 呭 呮
005470..005471   呰 呱
005473..005477   味 呴 呵 呶 呷
00547b..00547d   呻 呼 命
00547f..005481   呿 咀 咁
005483..005486   咃 咄 咅 咆
005488..005492   咈 咉 咊 咋 和 咍 咎 咏 咐 咑 咒
005495..005496   咕 咖
00549c           咜
00549f..0054a2   咟 咠 咡 咢
0054a4..0054af   咤 咥 咦 咧 咨 咩 咪 咫 咬 咭 咮 咯
0054b1..0054b3   咱 咲 咳
0054b7..0054c4   咷 咸 咹 咺 咻 咼 咽 咾 咿 哀 品 哂 哃 哄
0054c6..0054ca   哆 哇 哈 哉 哊
0054cd..0054ce   响 哎
0054d8           哘
0054e0..0054e2   哠 員 哢
0054e5..0054e6   哥 哦
0054e8..0054ea   哨 哩 哪
0054ec..0054ef   哬 哭 哮 哯
0054f1..0054f3   哱 哲 哳
0054f6           哶
0054fa           哺
0054fc..005501   哼 哽 哾 哿 唀 唁
005504..005509   唄 唅 唆 唇 唈 唉
00550c..005510   唌 唍 唎 唏 唐
005514..005516   唔 唕 唖
00552a..00552b   唪 唫
00552e..00552f   售 唯
005531..005533   唱 唲 唳
005535..005536   唵 唶
005538..005539   唸 唹
00553b..00553e   唻 唼 唽 唾
005540..005541   啀 啁
